Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
TELU2,Ternstroemia luquillensis,palo colorado,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPE,Ternstroemia peduncularis,copey vera,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST3,Ternstroemia stahlii,mamey de cura,,,,,,,,,,,,,,,,,,,,,,,,,,
TESU,Ternstroemia subsessilis,el yunque colorado,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA13,Tetracarpidium,tetracarpidium,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO9,Tetracarpidium conophorum,tetracarpidium,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA24,Tetrachne,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEDR2,Tetrachne dregei,robies cocksfoot,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA,Tetraclea,tetraclea,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO,Tetraclea coulteri,Coulter's wrinklefruit,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA12,Tetraclinis,tetraclinis,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR7,Tetraclinis articulata,arar tree,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA2,Tetracoccus,shrubby-spurge,,,,,,,,,,,,,,,,,,,,,,,,,,
TEDI,Tetracoccus dioicus,red shrubby-spurge,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHA,Tetracoccus hallii,Hall's shrubby-spurge,,,,,,,,,,,,,,,,,,,,,,,,,,
TEIL,Tetracoccus ilicifolius,hollybush,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA25,Tetradium,tetradium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEDA,Tetradium daniellii,bee-bee tree,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA3,Tetradymia,horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR,Tetradymia argyraea,striped cottonthorn,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAX,Tetradymia axillaris,longspine horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAXA,Tetradymia axillaris var. axillaris,longspine horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAXL,Tetradymia axillaris var. longispina,longspine horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA2,Tetradymia canescens,spineless horsebrush,"Spring, Summer, Fall",Slow,4,4,Moderate,None,Erect,None,High,Low,7,8,100,150,5,11,6,None,Intolerant,17,Late Summer,Fall,Winter,No,No,Low
TECO2,Tetradymia comosa,hairy horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFI,Tetradymia filifolia,threadleaf horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGL,Tetradymia glabrata,littleleaf horsebrush,"Spring, Summer, Fall",Slow,1,12,Moderate,None,Rounded,None,High,Low,7,8,100,150,3,11,6,None,Intolerant,-13,Late Summer,Fall,Winter,No,No,Low
TENU2,Tetradymia nuttallii,Nuttall's horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TESP2,Tetradymia spinosa,shortspine horsebrush,Spring and Summer,Slow,3,3.2,Long,None,Semi-Erect,None,High,Low,6.5,8.2,1700,2700,8,14,16,Medium,Intolerant,-28,Mid Spring,Spring,Summer,No,No,
TEST2,Tetradymia stenolepis,Mojave cottonthorn,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE4,Tetradymia tetrameres,fourpart horsebrush,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA4,Tetragastris,tetragastris,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBA,Tetragastris balsamifera,masa,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA9,Tetragonia,tetragonia,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE3,Tetragonia tetragonioides,New Zealand spinach,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA18,Tetragonolobus,tetragonolobus,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPU6,Tetragonolobus purpureus,winged pea,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA5,Tetragonotheca,nerveray,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHE2,Tetragonotheca helianthoides,pineland nerveray,,,,,,,,,,,,,,,,,,,,,,,,,,
TELU,Tetragonotheca ludoviciana,Louisiana nerveray,,,,,,,,,,,,,,,,,,,,,,,,,,
TERE2,Tetragonotheca repanda,showy nerveray,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE2,Tetragonotheca texana,squarebud daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA22,Tetralophozia,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFI4,Tetralophozia filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESE7,Tetralophozia setiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA6,Tetramerium,tetramerium,,,,,,,,,,,,,,,,,,,,,,,,,,
TENE,Tetramerium nervosum,hairy fournwort,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA8,Tetramicra,wallflower orchid,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA4,Tetramicra canaliculata,serpentine wallflower orchid,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA16,Tetramolopium,tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR3,Tetramolopium arenarium,Maui tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARA,Tetramolopium arenarium ssp. arenarium,Maui tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARA2,Tetramolopium arenarium ssp. arenarium var. arenarium,Maui tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARC,Tetramolopium arenarium ssp. arenarium var. confertum,Maui tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARL,Tetramolopium arenarium ssp. laxum,Maui tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA7,Tetramolopium capillare,pamakani,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO5,Tetramolopium consanguineum,forest tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOC,Tetramolopium consanguineum ssp. consanguineum,forest tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOL,Tetramolopium consanguineum ssp. leptophyllum,forest tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOK,Tetramolopium consanguineum ssp. leptophyllum var. kauense,Kauai tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOL2,Tetramolopium consanguineum ssp. leptophyllum var. leptophyllum,forest tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO6,Tetramolopium conyzoides,smallhead tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFI2,Tetramolopium filiforme,ridgetop tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFIF,Tetramolopium filiforme var. filiforme,ridgetop tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
